market,producer,totalcomb,newrfpdtq,combnewrenrfpsold
Arizona,Ariz1,1,0,1
Arizona,Ariz2,2,2,0
Arizona,Ariz3,6,4,0
Arizona,Ariz4,1,0,0
Arizona,Ariz5,1,0,0
Arizona,Ariz6,2,1,0
Arizona,Ariz7,1,1,0
Arizona,Ariz8,9,3,4
Arizona,Ariz9,7,3,0
Arizona,Ariz10,3,1,1
Arizona,Ariz11,4,3,0
Arizona,Ariz12,88,30,30
Arizona,Ariz13,16,2,9
Arizona,Ariz14,1,1,0
Arizona,Ariz15,3,1,0
Arizona,Ariz16,50,22,4
Arizona,Ariz17,1,0,0
Arizona,Ariz18,3,1,2
Arizona,Ariz19,4,2,0
Arizona,Ariz20,13,3,1
Arizona,Ariz21,1,1,0
Arizona,Ariz22,2,2,0
Arizona,Ariz23,3,0,2
Arizona,Ariz24,1,0,0
Arizona,Ariz25,21,12,2
Arizona,Ariz26,2,1,0
Arizona,Ariz27,1,0,0
Arizona,Ariz28,2,1,1
Arizona,Ariz29,5,1,1
Arizona,Ariz30,1,1,0
Arizona,Ariz31,4,2,1
Arizona,Ariz32,1,1,0
Arizona,Ariz33,3,1,0
Arizona,Ariz34,4,0,0
Arizona,Ariz35,9,1,7
Arizona,Ariz36,1,0,1
Arizona,Ariz37,1,0,0
Arizona,Ariz38,1,0,0
Arizona,Ariz39,1,0,0
Arizona,Ariz40,3,1,1
Arizona,Ariz41,8,4,0
Arizona,Ariz42,27,8,6
Arizona,Ariz43,2,1,0
Arizona,Ariz44,2,1,0
Arizona,Ariz45,55,20,12
Arizona,Ariz46,5,1,3
Arizona,Ariz47,50,20,13
Arizona,Ariz48,7,4,0
Arizona,Ariz49,1,1,0
Arizona,Ariz50,3,2,0
Arizona,Ariz51,3,2,0
Arizona,Ariz52,1,0,0
Arizona,Ariz53,2,0,0
Arizona,Ariz54,1,0,0
Arizona,Ariz55,2,0,2
Arizona,Ariz56,1,0,0
Arizona,Ariz57,7,1,1
Arizona,Ariz58,5,2,1
Arizona,Ariz59,1,0,0
Arizona,Ariz60,3,0,1
Arizona,Ariz61,2,0,0
Arizona,Ariz62,3,0,0
Arizona,Ariz63,1,0,0
Arizona,Ariz64,3,1,0
Arizona,Ariz65,2,1,0
Arizona,Ariz66,1,0,0
Arizona,Ariz67,40,18,2
Arizona,Ariz68,4,1,1
Arizona,Ariz69,30,10,12
Arizona,Ariz70,1,1,0
Arizona,Ariz71,1,0,1
Arizona,Ariz72,3,2,1
Arizona,Ariz73,3,2,0
Arizona,Ariz74,4,3,0
Arizona,Ariz75,6,0,4
Arizona,Ariz76,1,0,0
Arizona,Ariz77,5,4,0
Arizona,Ariz78,2,2,0
Arizona,Ariz79,2,0,0
Arizona,Ariz80,78,26,16
Arizona,Ariz81,1,0,1
Arizona,Ariz82,1,0,0
Arizona,Ariz83,1,1,0
Arizona,Ariz84,7,0,4
Arizona,Ariz85,3,2,0
Arizona,Ariz86,3,2,0
Arizona,Ariz87,16,12,1
Arizona,Ariz88,1,1,0
Arizona,Ariz89,2,1,0
Arizona,Ariz90,1,0,0
Arizona,Ariz91,3,2,0
Arizona,Ariz92,60,28,11
Arizona,Ariz93,2,2,0
Arizona,Ariz94,1,0,0
Arizona,Ariz95,1,0,1
Arizona,Ariz96,3,1,0
Arizona,Ariz97,1,0,1
Arizona,Ariz98,22,11,4
Arizona,Ariz99,5,2,2
Arizona,Ariz100,4,1,0
Arizona,Ariz101,1,0,1
Arizona,Ariz102,3,0,0
Arizona,Ariz103,1,0,0
Arizona,Ariz104,1,0,1
Arizona,Ariz105,1,0,0
Arizona,Ariz106,1,1,0
Arizona,Ariz107,5,2,0
Arizona,Ariz108,1,1,0
Arizona,Ariz109,7,5,0
Arizona,Ariz110,3,2,0
Arizona,Ariz111,2,0,2
Arizona,Ariz112,1,0,0
Arizona,Ariz113,2,1,0
Arizona,Ariz114,12,2,6
Arizona,Ariz115,1,0,0
Arizona,Ariz116,1,0,1
Arizona,Ariz117,1,0,1
Arizona,Ariz118,2,0,1
Arizona,Ariz119,2,0,1
Arizona,Ariz120,5,3,0
Arizona,Ariz121,2,1,0
Arizona,Ariz122,4,1,2
Arizona,Ariz123,1,0,1
Arizona,Ariz124,1,0,0
Arizona,Ariz125,2,0,0
Arizona,Ariz126,1,1,0
Arizona,Ariz127,23,10,5
Arizona,Ariz128,1,0,0
Arizona,Ariz129,1,0,0
Arizona,Ariz130,1,0,0
Arizona,Ariz131,1,0,1
Arizona,Ariz132,12,3,5
Arizona,Ariz133,16,11,1
Arizona,Ariz134,1,1,0
Arizona,Ariz135,1,0,1
Arizona,Ariz136,1,0,1
Arizona,Ariz137,1,0,1
Arizona,Ariz138,1,0,1
Arizona,Ariz139,1,1,0
Arizona,Ariz140,1,0,0
Arizona,Ariz141,1,0,0
Arizona,Ariz142,1,1,0
